Type,ID,Lat,Lon,Alt,Speed/Weight,Radius,3,43,7
P,10,32.103328,35.2053377,0,10,1,,,
P,11,32.10294208,35.2096466,0,11,1,,,
P,12,32.10468913,35.20935245,0,12,1,,,
G,13,32.10367219,35.2037318,0,10,1,,,
G,14,32.10274912,35.2108073,0,11,1,,,
G,15,32.10457962,35.21087885,0,12,1,,,
G,16,32.10544532,35.20909805,0,13,1,,,
F,45,32.10538274,35.20820765,0,1,,,,
F,46,32.10535666,35.2097261,0,1,,,,
F,47,32.10535145,35.2112684,0,1,,,,
F,48,32.10331235,35.211332,0,1,,,,
F,49,32.10282735,35.21132405,0,1,,,,
F,50,32.10282214,35.21029055,0,1,,,,
F,51,32.10307767,35.2109186,0,1,,,,
F,52,32.10338536,35.21040185,0,1,,,,
F,53,32.10306724,35.21017925,0,1,,,,
F,54,32.10358354,35.2109345,0,1,,,,
F,55,32.10458483,35.21046545,0,1,,,,
F,56,32.10460569,35.2097738,0,1,,,,
F,57,32.1045744,35.20386695,0,1,,,,
F,58,32.10421456,35.20383515,0,1,,,,
F,59,32.10390166,35.20381925,0,1,,,,
F,60,32.10415719,35.2040975,0,1,,,,
F,61,32.10437623,35.2040816,0,1,,,,
F,62,32.10457962,35.2045586,0,1,,,,
F,63,32.10379214,35.20645865,0,1,,,,
F,64,32.10330192,35.2071026,0,1,,,,
F,65,32.103813,35.2074683,0,1,,,,
F,66,32.10292644,35.20782605,0,1,,,,
F,67,32.10364612,35.2100282,0,1,,,,
F,68,32.10455876,35.2101872,0,1,,,,
F,69,32.10461091,35.2089788,0,1,,,,
F,70,32.10466306,35.20873235,0,1,,,,
F,71,32.10535145,35.20852565,0,1,,,,
F,72,32.10480386,35.2120952,0,1,,,,
F,73,32.10413633,35.212286,0,1,,,,
F,74,32.10347924,35.2122065,0,1,,,,
F,75,32.10352096,35.21199185,0,1,,,,
F,76,32.10292644,35.2120634,0,1,,,,
F,77,32.10265004,35.2119203,0,1,,,,
F,78,32.10209724,35.2114751,0,1,,,,
F,79,32.10211289,35.2106006,0,1,,,,
F,80,32.10307246,35.2118567,0,1,,,,
F,81,32.10257703,35.21216675,0,1,,,,
F,82,32.1050229,35.21183285,0,1,,,,
F,83,32.10530973,35.2106324,0,1,,,,
F,84,32.10536709,35.2103303,0,1,,,,
F,85,32.10542967,35.21005205,0,1,,,,
F,86,32.10541403,35.2093445,0,1,,,,
F,87,32.10541924,35.2086449,0,1,,,,
B,5,32.10214939,35.20281755,0,32.10541403,35.2033025,0,1,
B,6,32.10488731,35.2026347,0,32.10521585,35.2111889,0,1,
B,7,32.10225369,35.2115387,0,32.10547139,35.2116023,0,1,
B,8,32.10221719,35.20243595,0,32.10251445,35.2118567,0,1,
B,9,32.10417806,35.20626785,0,32.10435015,35.21191235,0,1,
B,10,32.10363569,35.20494815,0,32.10541924,35.2055603,0,1,
B,11,32.10217025,35.2041929,0,32.10392773,35.20461425,0,1,
